sugar,17 grams,123
calories,150 calories,124
carbohydrate,23 grams,124
cholesterol,10 milligrams,124
fat,3 grams,124
protein,10 grams,124
sodium,530 milligrams,124
sugar,6 grams,124
calories,160 calories,125
carbohydrate,23 grams,125
cholesterol,55 milligrams,125
fat,6 grams,125
protein,3 grams,125
saturatedFat,1.5 grams,125
sodium,160 milligrams,125
sugar,22 grams,125
calories,490 calories,126
carbohydrate,81 grams,126
cholesterol,150 milligrams,126
fat,16 grams,126
fiber,2 grams,126
protein,8 grams,126
saturatedFat,8 grams,126
sodium,300 milligrams,126
sugar,60 grams,126
calories,910 calories,127
carbohydrate,165 grams,127
cholesterol,325 milligrams,127
fat,18 grams,127
fiber,10 grams,127
protein,27 grams,127
saturatedFat,4 grams,127
sodium,1340 milligrams,127
sugar,20 grams,127
calories,430 calories,128
carbohydrate,48 grams,128
cholesterol,50 milligrams,128
fat,16 grams,128
fiber,2 grams,128
protein,8 grams,128
saturatedFat,10 grams,128
sodium,150 milligrams,128
sugar,43 grams,128
calories,300 calories,129
carbohydrate,41 grams,129
cholesterol,40 milligrams,129
fat,12 grams,129
fiber,2 grams,129
protein,7 grams,129
saturatedFat,1.5 grams,129
sodium,380 milligrams,129
sugar,13 grams,129
calories,370 calories,130
carbohydrate,52 grams,130
cholesterol,60 milligrams,130
fat,16 grams,130
fiber,1 grams,130
protein,5 grams,130
saturatedFat,10 grams,130
sodium,690 milligrams,130
sugar,25 grams,130
calories,310 calories,131
carbohydrate,37 grams,131
cholesterol,5 milligrams,131
fat,15 grams,131
fiber,2 grams,131
protein,10 grams,131
saturatedFat,5 grams,131
sodium,300 milligrams,131
sugar,26 grams,131
calories,220 calories,132
carbohydrate,9 grams,132
cholesterol,65 milligrams,132
fat,8 grams,132
protein,29 grams,132
saturatedFat,2.5 grams,132
sodium,620 milligrams,132
sugar,6 grams,132
calories,280 calories,133
carbohydrate,37 grams,133
cholesterol,35 milligrams,133
fat,12 grams,133
fiber,5 grams,133
protein,8 grams,133
